espanol,wichi,fuente_wichi,chorote,fuente_chorote,nivacle,fuente_nivacle,maka,fuente_maka
nuera,-titʃe,Ne2014:194,infʷelis,G1979:76,-tɑmk͡lɑji,S2016,-felits,G1999:435
nuevo,netʃʼajik,Ne2014:154,"inkjeʔ,inkjeʔe",G1979:76,nitʃʼa,S2016,inkʼajik,G1999:499
nutria,,,meʔ,G1979:76,meʔ,Gu2015:118,miʔ,G1999:499
ojo,-te,Ne2014:6,tateʔ,G1983:211,-tɑsex,Gu2015:106,-toʔ,G1999:501
oreja,-tʃʼuteʔ,Ne2014:119,inkjoteʔ,G1979:76,-kfeʔ,Gu2015:77,-ekfiʔ,G1999:502
oso hormiguero,selaj,Ne2014:213,soʔolax,G1983:212,swuk͡lax,Gu2015:53,,
otoño,kjeeɬkjup,Cl2008:186,alatalexeʔ,G1979:77,tisxuʔp,Gu2015:301,keɬejkup,G1999:502
padre,nookjah,Cl2008:60,naʔa,G1979:77,tata,Gu2015:34,tata,G1999:505
palabra,,,inamtik,G1979:77,-k͡liʔʃ,Gu2015:204,-lixeʔ,G1999:505
palo,haʼlo,Ne2014:177,alaʔ,G1983:212,jik͡lɑʔ,Gu2015:173,naxkak,G1999:414
palo,,,alaʔa,G1979:77,,,,
palo borracho,tsemɬok,Ne2014:384,,,jiktsuʔk,Gu2015:151,tʼisaxii,G1999:506
palosanto,,,xok,G1983:213,xoʔk,S2016,titsʼijuk,G1999:506
palosanto,,,inɬak,G1979:77,,,,
palosantos,,,xokiʔ,G1979:176,xokis,S2016,,
panza,-tots’e,Ne2014:112,"tseʔe (V1), tseʔ(V2)",G1983:58,-wtsʼeɁ,S2016,kuxii,G1999:458
panzas,-tots’eɬ,Ne2014:112,"tsejis (V1), tsel (V2)",G1983:58,-wtsʼek,S2016,,
pecho,’noot’okeɁ,Cl2008:98,-Ɂot,C2014a: 77,-ɁoɁt,S2016,-exujix,G1999:444
pedo,,,-hwut,D2009:120,-fuɁt,S2016,-eftuʔ,G1999:509
pelo,-’wule,Ne2014:233,woleɁ,G1983:214,-saɁʃ,Gu2015:78,-ewkuxux,G1999:510
pene,-ɬu,Ne2014:213,,,-soʔ,S2016,-soʔ,G1999:510
perro,asinox,Ne2014:5,"nowu, noo, nuu",G1983:214,nuʔu,Gu2015:109,nunax,
pescar,-jen,Ne2014:268,-woʔ,G1983:214,-woʔ,S2016,hajqaqaqanhen,
pestaña,totefʷis,Ne2014:6,taxseɁ,G1983:214,-tɑtse,S2016,-tetsiɁ,G1999:511
pie,,,kalaɁ,G1983:214,-foɁ,S2016,-fʼiʔ,G1999:512
piedra,tente,Ne2014:49,poj,G1983:215,utex,S2016,ute,G1999:512
pierna,-taqalo,Ne2014:48,inekixnaɁ,G1979:79,-kak͡lɑʔ,Gu2015:253,-qanaxak,G1999:512
piojo,ɬaʔ,Ne2014:50,inɬaʔa,G1979:79,ɬaʔ,S2016,iiɬeʔ,G1999:513
plato,,,"tejtik, tetik, text",G1983:215,titetʃ,S2016,tokʼo,G1999:514
pozo,,,xakiɁ,G1983:216,tʼitsetʃ,S2016,-tixkiʔ,G1999:515
